129,IPIM INDEC Materias primas plásticas y caucho sintético,Indice de Produccion Industrial Manufacturero de Materias primas plásticas y caucho sintético. FUENTE: INDEC
130,IPIM INDEC Pinturas,Indice de Produccion Industrial Manufacturero de Pinturas. FUENTE: INDEC
131,IPIM INDEC Productos farmacéuticos,Indice de Produccion Industrial Manufacturero de Productos farmacéuticos. FUENTE: INDEC
132,IPIM INDEC Detergentes, jabones y productos personales,Indice de Produccion Industrial Manufacturero de Detergentes, jabones y productos personales. FUENTE: INDEC
133,IPIM INDEC Otros productos químicos,Indice de Produccion Industrial Manufacturero de Otros productos químicos. FUENTE: INDEC
134,IPIM INDEC Productos de caucho y plástico,Indice de Produccion Industrial Manufacturero de Productos de caucho y plástico. FUENTE: INDEC
135,IPIM INDEC Neumáticos,Indice de Produccion Industrial Manufacturero de Neumáticos. FUENTE: INDEC
136,IPIM INDEC Otros productos de caucho,Indice de Produccion Industrial Manufacturero de Otros productos de caucho. FUENTE: INDEC
137,IPIM INDEC Manufacturas de plástico,Indice de Produccion Industrial Manufacturero de Manufacturas de plástico. FUENTE: INDEC
138,IPIM INDEC Productos minerales no metálicos,Indice de Produccion Industrial Manufacturero de Productos minerales no metálicos. FUENTE: INDEC
139,IPIM INDEC Vidrio y productos de vidrio,Indice de Produccion Industrial Manufacturero de Vidrio y productos de vidrio. FUENTE: INDEC
140,IPIM INDEC Productos de arcilla y cerámica no refractaria ,Indice de Produccion Industrial Manufacturero de Productos de arcilla y cerámica no refractaria . FUENTE: INDEC
141,IPIM INDEC Cemento,Indice de Produccion Industrial Manufacturero de Cemento. FUENTE: INDEC
142,IPIM INDEC Cal y yeso,Indice de Produccion Industrial Manufacturero de Cal y yeso. FUENTE: INDEC
143,IPIM INDEC Artículos de cemento y de yeso,Indice de Produccion Industrial Manufacturero de Artículos de cemento y de yeso. FUENTE: INDEC
144,IPIM INDEC Otros productos minerales no metálicos,Indice de Produccion Industrial Manufacturero de Otros productos minerales no metálicos. FUENTE: INDEC
